,p-value,cell.line,DIP Rate,Division Rate,Death Rate,param.pair,Cell Line
0,2.857020652989151e-17,not.assigned,-0.001,0.024,0.025,0,not.assigned
1,1.2113426124978763e-16,not.assigned,-0.001,0.024,0.025,1,not.assigned
2,4.2937603457385445e-21,not.assigned,-0.001,0.024,0.025,2,not.assigned
3,9.346136866532857e-06,not.assigned,0.0,0.024,0.024,3,not.assigned
4,5.711503611147066e-07,not.assigned,0.0,0.024,0.024,4,not.assigned
5,3.367010140642807e-06,not.assigned,0.0,0.024,0.024,5,not.assigned
6,0.0004612355849183818,not.assigned,0.001,0.024,0.023,6,not.assigned
7,0.23885439615929072,PC9-DS8,0.001,0.024,0.023,7,PC9-DS8.1
8,0.0527189214321779,not.assigned,0.001,0.024,0.023,8,not.assigned
9,1.1878739131661564e-19,not.assigned,-0.001,0.024,0.025,9,not.assigned
10,4.822545141294773e-21,not.assigned,-0.001,0.024,0.025,10,not.assigned
11,2.0627155765574127e-16,not.assigned,-0.001,0.024,0.025,11,not.assigned
12,1.9770937396558398e-08,not.assigned,0.0,0.024,0.024,12,not.assigned
13,9.27968730049809e-07,not.assigned,0.0,0.024,0.024,13,not.assigned
14,5.54934153191195e-07,not.assigned,0.0,0.024,0.024,14,not.assigned
15,0.0002989969171787609,not.assigned,0.001,0.024,0.023,15,not.assigned
16,0.01748120924472657,not.assigned,0.001,0.024,0.023,16,not.assigned
17,0.385306229882944,PC9-DS8,0.001,0.024,0.023,17,PC9-DS8.1
18,8.555321854613284e-17,not.assigned,-0.001,0.024,0.025,18,not.assigned
19,1.792528347170433e-17,not.assigned,-0.001,0.024,0.025,19,not.assigned
20,1.4369701396145744e-17,not.assigned,-0.001,0.024,0.025,20,not.assigned
21,1.1023361635388941e-05,not.assigned,0.0,0.024,0.024,21,not.assigned
22,5.304658463408527e-09,not.assigned,0.0,0.024,0.024,22,not.assigned
23,5.262777358250617e-07,not.assigned,0.0,0.024,0.024,23,not.assigned
24,0.00027176880307908666,not.assigned,0.001,0.024,0.023,24,not.assigned
25,0.05294411190665969,not.assigned,0.001,0.024,0.023,25,not.assigned
26,0.06328131930046155,not.assigned,0.001,0.024,0.023,26,not.assigned
27,5.1168292008398366e-23,not.assigned,-0.001,0.024,0.025,27,not.assigned
28,3.4299339299753797e-23,not.assigned,-0.001,0.024,0.025,28,not.assigned
29,6.376980304984688e-20,not.assigned,-0.001,0.024,0.025,29,not.assigned
30,3.063482468007354e-07,not.assigned,0.0,0.024,0.024,30,not.assigned
31,1.1266691341230679e-05,not.assigned,0.0,0.024,0.024,31,not.assigned
32,7.63153846918242e-08,not.assigned,0.0,0.024,0.024,32,not.assigned
33,0.0026486660117809157,not.assigned,0.001,0.024,0.023,33,not.assigned
34,0.2004006569680457,PC9-DS8,0.001,0.024,0.023,34,PC9-DS8.1
35,0.03107149424305532,not.assigned,0.001,0.024,0.023,35,not.assigned
36,3.0644007538505476e-18,not.assigned,-0.001,0.025,0.026000000000000002,36,not.assigned
37,3.188534475074775e-14,not.assigned,-0.001,0.025,0.026000000000000002,37,not.assigned
38,1.1964604481957759e-18,not.assigned,-0.001,0.025,0.026000000000000002,38,not.assigned
39,0.00012372167961532507,not.assigned,0.0,0.025,0.025,39,not.assigned
40,6.724257153030288e-07,not.assigned,0.0,0.025,0.025,40,not.assigned
41,6.524053978322862e-05,not.assigned,0.0,0.025,0.025,41,not.assigned
42,0.00015921742403415877,not.assigned,0.001,0.025,0.024,42,not.assigned
43,0.10552095858869748,PC9-DS8,0.001,0.025,0.024,43,PC9-DS8.1
44,0.14625396892249215,PC9-DS8,0.001,0.025,0.024,44,PC9-DS8.1
45,1.1290157853481294e-25,not.assigned,-0.001,0.025,0.026000000000000002,45,not.assigned
46,8.5338436617497e-15,not.assigned,-0.001,0.025,0.026000000000000002,46,not.assigned
47,3.252880148897944e-16,not.assigned,-0.001,0.025,0.026000000000000002,47,not.assigned
48,6.58165227682631e-05,not.assigned,0.0,0.025,0.025,48,not.assigned
49,2.8099520170879053e-08,not.assigned,0.0,0.025,0.025,49,not.assigned
50,3.201616762390582e-07,not.assigned,0.0,0.025,0.025,50,not.assigned
51,0.0013784154790093235,not.assigned,0.001,0.025,0.024,51,not.assigned
52,0.002389715812451593,not.assigned,0.001,0.025,0.024,52,not.assigned
53,0.03876504811177272,not.assigned,0.001,0.025,0.024,53,not.assigned
54,1.8460281398577075e-19,not.assigned,-0.001,0.025,0.026000000000000002,54,not.assigned
55,1.2966319242656075e-21,not.assigned,-0.001,0.025,0.026000000000000002,55,not.assigned
56,6.387702568765669e-18,not.assigned,-0.001,0.025,0.026000000000000002,56,not.assigned
57,3.038208646132163e-06,not.assigned,0.0,0.025,0.025,57,not.assigned
58,1.3668127693355617e-05,not.assigned,0.0,0.025,0.025,58,not.assigned
59,2.6521244254371797e-05,not.assigned,0.0,0.025,0.025,59,not.assigned
60,0.00014150349150945726,not.assigned,0.001,0.025,0.024,60,not.assigned
61,0.08580201546317308,not.assigned,0.001,0.025,0.024,61,not.assigned
62,0.3516809515384499,PC9-DS8,0.001,0.025,0.024,62,PC9-DS8.1
63,5.214899735100801e-22,not.assigned,-0.001,0.025,0.026000000000000002,63,not.assigned
64,1.2079839123412334e-18,not.assigned,-0.001,0.025,0.026000000000000002,64,not.assigned
65,3.6287497637510675e-20,not.assigned,-0.001,0.025,0.026000000000000002,65,not.assigned
66,4.303120617732908e-09,not.assigned,0.0,0.025,0.025,66,not.assigned
67,1.2975824604256575e-06,not.assigned,0.0,0.025,0.025,67,not.assigned
68,6.946883284328854e-09,not.assigned,0.0,0.025,0.025,68,not.assigned
69,0.0005591673236410713,not.assigned,0.001,0.025,0.024,69,not.assigned
70,0.021476763944281663,not.assigned,0.001,0.025,0.024,70,not.assigned
71,0.20413661428462063,PC9-DS8,0.001,0.025,0.024,71,PC9-DS8.1
72,1.828250646702896e-18,not.assigned,-0.001,0.026,0.027,72,not.assigned
73,3.6599390222220127e-19,not.assigned,-0.001,0.026,0.027,73,not.assigned
74,9.119038273714753e-25,not.assigned,-0.001,0.026,0.027,74,not.assigned
75,1.4358735071951088e-06,not.assigned,0.0,0.026,0.026,75,not.assigned
76,7.700000527610813e-06,not.assigned,0.0,0.026,0.026,76,not.assigned
77,2.4933012522811825e-07,not.assigned,0.0,0.026,0.026,77,not.assigned
78,0.0018119159571121793,not.assigned,0.001,0.026,0.024999999999999998,78,not.assigned
79,0.008721397573676825,not.assigned,0.001,0.026,0.024999999999999998,79,not.assigned
80,0.0281438755910667,not.assigned,0.001,0.026,0.024999999999999998,80,not.assigned
81,3.507098367313151e-18,not.assigned,-0.001,0.026,0.027,81,not.assigned
82,1.706273681856643e-19,not.assigned,-0.001,0.026,0.027,82,not.assigned
83,1.1138368773540294e-17,not.assigned,-0.001,0.026,0.027,83,not.assigned
84,9.822293615801807e-07,not.assigned,0.0,0.026,0.026,84,not.assigned
85,7.769715865631846e-11,not.assigned,0.0,0.026,0.026,85,not.assigned
86,1.3169292707147314e-09,not.assigned,0.0,0.026,0.026,86,not.assigned
87,4.485973878533688e-05,not.assigned,0.001,0.026,0.024999999999999998,87,not.assigned
88,0.3221179604838373,PC9-DS8,0.001,0.026,0.024999999999999998,88,PC9-DS8.1
89,0.09170792778360741,not.assigned,0.001,0.026,0.024999999999999998,89,not.assigned
