,p-value,cell.line,DIP Rate,Division Rate,Death Rate,param.pair,Cell Line
0,1.211729620179768e-24,not.assigned,-0.001,0.024,0.025,0,not.assigned
1,2.6266708090903167e-22,not.assigned,-0.001,0.024,0.025,1,not.assigned
2,5.366761141933774e-28,not.assigned,-0.001,0.024,0.025,2,not.assigned
3,6.0483119336201325e-06,not.assigned,0.0,0.024,0.024,3,not.assigned
4,1.284592933624992e-06,not.assigned,0.0,0.024,0.024,4,not.assigned
5,9.692860321888807e-08,not.assigned,0.0,0.024,0.024,5,not.assigned
6,0.00016177460066768898,not.assigned,0.001,0.024,0.023,6,not.assigned
7,0.0003605385595346731,not.assigned,0.001,0.024,0.023,7,not.assigned
8,0.014309531816213134,not.assigned,0.001,0.024,0.023,8,not.assigned
9,4.288398436769559e-25,not.assigned,-0.001,0.024,0.025,9,not.assigned
10,1.1691447956255677e-22,not.assigned,-0.001,0.024,0.025,10,not.assigned
11,4.0627515748390088e-22,not.assigned,-0.001,0.024,0.025,11,not.assigned
12,1.328958934258505e-09,not.assigned,0.0,0.024,0.024,12,not.assigned
13,8.688229598566316e-10,not.assigned,0.0,0.024,0.024,13,not.assigned
14,1.967695325813108e-06,not.assigned,0.0,0.024,0.024,14,not.assigned
15,4.15740217807798e-05,not.assigned,0.001,0.024,0.023,15,not.assigned
16,0.05411071658297246,not.assigned,0.001,0.024,0.023,16,not.assigned
17,0.001732741823426406,not.assigned,0.001,0.024,0.023,17,not.assigned
18,1.9710197549596293e-25,not.assigned,-0.001,0.024,0.025,18,not.assigned
19,2.130183122947621e-23,not.assigned,-0.001,0.024,0.025,19,not.assigned
20,2.071613497098375e-25,not.assigned,-0.001,0.024,0.025,20,not.assigned
21,6.7289701704646574e-09,not.assigned,0.0,0.024,0.024,21,not.assigned
22,5.179225253267716e-06,not.assigned,0.0,0.024,0.024,22,not.assigned
23,1.1652028842181036e-08,not.assigned,0.0,0.024,0.024,23,not.assigned
24,6.083670799333704e-05,not.assigned,0.001,0.024,0.023,24,not.assigned
25,0.00426677245684409,not.assigned,0.001,0.024,0.023,25,not.assigned
26,0.0015746955791535646,not.assigned,0.001,0.024,0.023,26,not.assigned
27,1.1098452051586646e-24,not.assigned,-0.001,0.024,0.025,27,not.assigned
28,2.0479454899186353e-24,not.assigned,-0.001,0.024,0.025,28,not.assigned
29,1.8374057253760057e-26,not.assigned,-0.001,0.024,0.025,29,not.assigned
30,1.5975016942571514e-12,not.assigned,0.0,0.024,0.024,30,not.assigned
31,1.5325279222073213e-12,not.assigned,0.0,0.024,0.024,31,not.assigned
32,6.333553313006138e-06,not.assigned,0.0,0.024,0.024,32,not.assigned
33,6.290407409533261e-06,not.assigned,0.001,0.024,0.023,33,not.assigned
34,0.026199496512306415,not.assigned,0.001,0.024,0.023,34,not.assigned
