,Type,Percent Resistant,Cells per Well,Wells per Plate,DIP Rates
0,resistant,0.200000,5,96,"[ 0.03318268  0.03508631  0.03511118  0.03361559  0.03623916  0.03440614
  0.03503303  0.03453194  0.03464835  0.03554379  0.03455371  0.03535716
  0.03412898  0.0337292   0.03395021  0.03448571  0.03705861  0.03351103
  0.03575074  0.03635509  0.03066729  0.03431845  0.02882225  0.03385145
  0.03372258  0.03529566  0.03456082  0.03178705  0.03564642  0.03381968
  0.03495383  0.03461512  0.03573342  0.03452601  0.03428843  0.03630561
  0.03528939  0.03296675  0.03272531  0.03617872  0.03525554  0.0357972
  0.0327016   0.03424797  0.03611157  0.03733022  0.03453052  0.03549124
  0.03456096]"
1,resistant,0.000000,100,384,[]
2,resistant,0.001000,10,96,[]
5,resistant,0.000001,25,96,[]
6,resistant,1.000000,5,384,"[ 0.03453997  0.03490944  0.03503154  0.03565827  0.03327223  0.03470205
  0.03548778  0.03571417  0.0343146   0.03545744  0.03522628  0.03497389
  0.03438471  0.03640667  0.03588191  0.0349103   0.0349888   0.03593612
  0.03525258  0.03522718  0.03455815  0.03457745  0.03510868  0.0359987
  0.03401053  0.0359529   0.03572569  0.03053044  0.03428644  0.03464734
  0.03545375  0.0353713   0.03603417  0.03475524  0.03459555  0.03374619
  0.03862     0.03087964  0.03425019  0.03504574  0.03500095  0.03505113
  0.03552893  0.0340461   0.03542332  0.03490909  0.03498284  0.03570585
  0.0365179   0.03622882  0.0351287   0.03494675  0.03581004  0.03382776
  0.0357302   0.0346451   0.03444481  0.03434334  0.03469707  0.03487003
  0.03496808  0.03515644  0.03515984  0.03385553  0.03451277  0.03505511
  0.03544128  0.03459103  0.03481318  0.03438231  0.03488857  0.03725834
  0.03495933  0.03498817  0.03415919  0.03501328  0.03560026  0.03526135
  0.03477144  0.03495614  0.03518527  0.03421442  0.03703965  0.03385348
  0.03488739  0.03561548  0.03540206  0.03413576  0.03398468  0.03527383
  0.03653704  0.03559927  0.03482167  0.03544038  0.0338759   0.03488732
  0.03533505  0.03493095  0.0350413   0.03470704  0.03521916  0.03452325
  0.03481334  0.03549465  0.0346904   0.03489392  0.03643042  0.0303514
  0.03494984  0.0344042   0.03494745  0.03520197  0.03571384  0.03619338
  0.03481951  0.03494866  0.03566208  0.03451487  0.0353717   0.03393709
  0.0341389   0.03632107  0.03518681  0.03477243  0.03452722  0.03443334
  0.03324415  0.03371768  0.03480903  0.03558173  0.0356083   0.03575705
  0.03509119  0.03431994  0.03476708  0.03469231  0.03554553  0.03533495
  0.03388632  0.03478398  0.03433393  0.0350211   0.03493801  0.03509634
  0.03453792  0.03480297  0.03412413  0.03567678  0.03457246  0.0344447
  0.03347343  0.03389403  0.03312718  0.03749621  0.03446332  0.03457332
  0.03416771  0.03427082  0.03480918  0.03321629  0.03407789  0.03552203
  0.03477931  0.0350226   0.03599672  0.03498115  0.03591393  0.03402933
  0.03451457  0.03521894  0.03640623  0.0359038   0.03331652  0.03535939
  0.03474294  0.034258    0.0335706   0.0353103   0.03446684  0.03493991
  0.03521056  0.03538994  0.03657107  0.03474681  0.03460572  0.03408527
  0.03414361  0.03380873  0.03450483  0.0343797   0.03431455  0.03614907
  0.03408765  0.03417836  0.03553151  0.03207943  0.03501874  0.03486132
  0.03596155  0.03592653  0.0357342   0.03252172  0.0346976   0.03540161
  0.03522954  0.03486036  0.03483037  0.03489977  0.03558248  0.03526155
  0.03501391  0.03544954  0.03514595  0.03521395  0.0350216   0.03491216
  0.03471125  0.03558568  0.03636653  0.03508818  0.03364775  0.0350221
  0.03615789  0.03566106  0.03525346  0.03643462  0.03535707  0.03529442
  0.03433485  0.03657194  0.03408136  0.0351272   0.03628181  0.03473653
  0.03453535  0.0357189   0.03467072  0.03023902  0.03504388  0.03453599
  0.03678937  0.03458482  0.03645982  0.03451503  0.03570094  0.03556277
  0.03529386  0.03459548  0.03513871  0.03465856  0.03399508  0.03558703
  0.03445089  0.03473772  0.03680825  0.03495752  0.03621532  0.03430322
  0.03454675  0.03526978  0.03717984  0.03499543  0.03524327  0.03523223
  0.03513132  0.03514274  0.03519128  0.03482696  0.03471585  0.03577088
  0.03595265  0.03436675  0.03494405  0.03501296  0.03675725  0.03571862
  0.03560684  0.03505327  0.03471812  0.03570712  0.03547275  0.03468609
  0.034712    0.03427671  0.03474934  0.03641884  0.03500849  0.0351165
  0.03455867  0.0286993   0.03398883  0.0359059   0.03475756  0.03460571
  0.03596782  0.03504948  0.0354315   0.03467284  0.03353412  0.03575104
  0.03513705  0.03612417  0.03532645  0.03499477  0.03477945  0.03553178
  0.03481307  0.03476279  0.03385477  0.03462354  0.03589569  0.0372605
  0.03739479  0.031972    0.03494999  0.03581764  0.03419878  0.03453308
  0.03538215  0.0332625   0.03569071  0.03581433  0.0348731   0.03473237
  0.03520792  0.03602338  0.0344661   0.03477998  0.03436469  0.03609638
  0.03510837  0.03462545  0.03513575  0.03430849  0.03519674  0.03567235
  0.03583427  0.03479379  0.03459259  0.03458278  0.03500636  0.03530392
  0.03525713  0.03505193  0.03648524  0.03410775  0.03435555  0.03526541
  0.03539864  0.03498767  0.03582637  0.03419467  0.03395704  0.03619644
  0.03407411  0.03507899  0.03480914  0.03548704  0.03603614  0.03444574
  0.03341092  0.03463677  0.03523046  0.03449834  0.03600806  0.03478881
  0.03594766  0.03564435  0.03645279  0.03554977  0.03584166  0.03486593
  0.035247    0.03454559  0.03394404  0.03427566  0.03494046  0.03513306
  0.03532278  0.03602978]"
7,resistant,0.000001,5,1536,[]
8,resistant,1.000000,100,384,"[ 0.03496313  0.03514445  0.03518024  0.03484462  0.03512982  0.03487399
  0.03515803  0.03489682  0.03489917  0.03491688  0.03484507  0.03502941
  0.03516162  0.03499411  0.03493522  0.03518203  0.03515129  0.03501447
  0.03509131  0.03510357  0.03503195  0.03502699  0.0348187   0.03498998
  0.034986    0.03523619  0.03505153  0.03518807  0.03508366  0.0350116
  0.03500783  0.03495096  0.03491973  0.03522394  0.03496991  0.0350061
  0.03516334  0.03501925  0.0350441   0.03510599  0.03500574  0.03543261
  0.03496682  0.03521818  0.03501969  0.034937    0.03521749  0.03504615
  0.03507175  0.03488304  0.03486824  0.03492501  0.03493095  0.03486167
  0.03516518  0.0346728   0.03509323  0.03501083  0.03521357  0.03515758
  0.03506541  0.03491147  0.03494267  0.035343    0.03515271  0.03499023
  0.03512489  0.0352358   0.03491094  0.03517827  0.0348448   0.03498809
  0.03501604  0.03496492  0.03513784  0.03519284  0.03520689  0.03462932
  0.03504835  0.03498895  0.03491912  0.03501817  0.03503647  0.0350913
  0.03516237  0.03488938  0.03507075  0.03476652  0.03485751  0.03461877
  0.03486253  0.03520416  0.0351479   0.03510495  0.03524085  0.0349761
  0.03490725  0.03501406  0.0346872   0.03503982  0.03521418  0.03523335
  0.03514536  0.03484235  0.0350295   0.03489916  0.03489027  0.03490552
  0.035084    0.03498264  0.03495601  0.03497621  0.03515066  0.03527216
  0.0349599   0.03485049  0.03494712  0.03511924  0.03486898  0.03496743
  0.03506438  0.03495267  0.03508822  0.03526127  0.03493393  0.03483667
  0.03494664  0.03499378  0.03511835  0.03502741  0.03500073  0.03509705
  0.03490719  0.0346419   0.03494575  0.03502233  0.03469318  0.03488271
  0.03496652  0.03496835  0.03511111  0.03505435  0.0352112   0.03495228
  0.03482568  0.03509021  0.03492633  0.03495095  0.03496436  0.03517548
  0.03485467  0.0349074   0.0350753   0.03488904  0.03499077  0.03502802
  0.03498888  0.03479813  0.03526602  0.03525091  0.03494185  0.03501124
  0.03515508  0.03487647  0.03490721  0.03502807  0.03503463  0.03491901
  0.03479807  0.03532444  0.035036    0.03487658  0.03521056  0.03528608
  0.03500694  0.03501097  0.03511087  0.03482933  0.03465951  0.03491734
  0.03504524  0.03475445  0.03507331  0.03524041  0.03504145  0.03479929
  0.03482783  0.03518724  0.03496689  0.03502033  0.03523026  0.03512661
  0.0348072   0.03509359  0.03471064  0.0348416   0.03493013  0.03499111
  0.03511018  0.03517919  0.03506646  0.03520765  0.03500016  0.03492309
  0.03476709  0.0351314   0.03518806  0.03509125  0.03473208  0.03514358
  0.03491153  0.03488127  0.03505274  0.03495339  0.03513484  0.03502745
  0.03477141  0.03486298  0.03525757  0.03496026  0.03520717  0.03496694
  0.03475213  0.03511623  0.03504485  0.03496553  0.03503512  0.03518743
  0.03494005  0.03488203  0.0348079   0.03518785  0.03514351  0.03474744
  0.03518652  0.03515756  0.03480176  0.03511948  0.03491441  0.03474331
  0.03514927  0.03480048  0.03499829  0.03488468  0.03501711  0.03502622
  0.0348642   0.03516219  0.03497587  0.03481143  0.03519649  0.03479637
  0.03494197  0.03493424  0.03542924  0.03488918  0.03494758  0.03465875
  0.03491961  0.03512219  0.03514812  0.0349025   0.03464856  0.03512016
  0.03494173  0.03480062  0.03507818  0.03488164  0.03498615  0.03481234
  0.03493683  0.03516495  0.03503236  0.03506193  0.03502629  0.03508963
  0.03494525  0.03529001  0.03507696  0.03482841  0.03504016  0.0350303
  0.03515667  0.0351452   0.03495152  0.03535902  0.03507942  0.03522504
  0.03504041  0.03499014  0.03501112  0.03495999  0.03500444  0.03491757
  0.03515466  0.03495083  0.03501833  0.03505302  0.03505596  0.03498265
  0.03519342  0.03503211  0.03485713  0.03518187  0.03488348  0.03491998
  0.03513201  0.03497134  0.03510893  0.03492808  0.03493173  0.03491607
  0.03497814  0.03511726  0.03515943  0.03505953  0.03485232  0.03525495
  0.03502962  0.03485534  0.03495579  0.03501168  0.03508585  0.03492365
  0.03520706  0.03494026  0.03483989  0.03486413  0.03478582  0.03508515
  0.03519739  0.03485092  0.03488219  0.03494782  0.03486096  0.03513661
  0.03483376  0.03512539  0.0347641   0.03486356  0.03485046  0.03496913
  0.03494038  0.03504455  0.03499467  0.03498934  0.0350476   0.03513043
  0.03499826  0.03510701  0.03525002  0.03536188  0.03516534  0.03506871
  0.03497211  0.03488588  0.03522933  0.03494606  0.03507188  0.03499823
  0.03506842  0.03536846  0.03489033  0.03525879  0.03501561  0.0348757
  0.03498461  0.03501944  0.03510288  0.03489395  0.03505708  0.03522209
  0.03502665  0.03516498  0.03534455  0.03499573  0.03500914  0.03477032
  0.03492539  0.03502925  0.03520735  0.03505317  0.03498909  0.03514866]"
10,resistant,0.000100,50,384,[ 0.03800747  0.034728    0.033503    0.03216066]
11,resistant,0.250000,25,96,"[ 0.03373541  0.03420482  0.0353601   0.03271282  0.03471676  0.0348185
  0.0357699   0.03515137  0.03417587  0.03405953  0.03441695  0.0352229
  0.03415763  0.03380897  0.03893936  0.03463025  0.03460353  0.03433487
  0.03402203  0.03519819  0.03540118  0.03522198  0.03420398  0.03535734
  0.03464658  0.03496696  0.03547257  0.03472895  0.03474546  0.03492584
  0.0350828   0.03436338  0.03433153  0.03582357  0.03513195  0.03451997
  0.03562178  0.03485772  0.03387112  0.03403177  0.03521323  0.03307606
  0.03529517  0.03499861  0.03408533  0.0341101   0.03485514  0.03465197
  0.03491388  0.03415131  0.03496431  0.03432001  0.03437437  0.03430066
  0.03487997  0.03464282  0.03536184  0.03550143  0.03420854  0.03401725
  0.03427609  0.0348101   0.03477544  0.03380109  0.03343857  0.03497412
  0.03524835  0.03310455  0.03532272  0.03453845  0.03479498  0.03540642
  0.0343818   0.03054027  0.03506495  0.03869278  0.03556575  0.03416145
  0.03580916  0.03479963  0.0353612   0.03544554  0.03470275  0.03552339
  0.03405468  0.03512389  0.03470292  0.03468504  0.03494082  0.03442074
  0.03534585  0.03456505  0.0350013   0.03555512  0.03537124  0.03519665]"
19,resistant,0.200000,25,96,"[ 0.03684546  0.03461911  0.03519589  0.03570449  0.03478644  0.03574739
  0.03457363  0.03558462  0.03527233  0.03588803  0.03531142  0.03510957
  0.02964446  0.03464756  0.03460427  0.03441983  0.03601002  0.03520662
  0.03425949  0.03381626  0.03559961  0.03559573  0.03688151  0.03538802
  0.03472561  0.03451243  0.03498726  0.03384428  0.03378443  0.03454074
  0.03556515  0.0371687   0.03616395  0.03483951  0.0363084   0.04421099
  0.03173552  0.03568574  0.0342084   0.03393218  0.03567274  0.03480061
  0.03500857  0.03338907  0.03281514  0.03459498  0.03604056  0.03431638
  0.03487681  0.03512226  0.03588467  0.03490377  0.03499067  0.03433506
  0.03381334  0.03422605  0.03550558  0.03392616  0.03459712  0.03463278
  0.03469166  0.03397695  0.03499061  0.03585261  0.03506804  0.03482632
  0.03673344  0.03447001  0.03498409  0.03371615  0.03438441  0.03563996
  0.03496403  0.0357577   0.03504945  0.03439832  0.03219151  0.03537551
  0.0336695   0.03639816  0.03460807  0.03471113  0.03446914  0.03524335
  0.03604932  0.03421668  0.03486211  0.03417325  0.0348688   0.03687645
  0.03424287  0.03356939  0.03500614  0.03541505]"
