,p-value,cell.line,DIP1,DIP2,div1,div2,dth1,dth2
0,9.839767645372733e-05,PC9.DS8,0.0005,0.0055,0.026,0.026,0.0255,0.020499999999999997
1,0.00011721742291824932,PC9.DS8,0.0005,0.005699999999999999,0.026,0.026,0.0255,0.0203
2,0.00011050219449588895,PC9.DS8,0.0005,0.0059,0.026,0.026,0.0255,0.0201
3,0.00016187651685236904,PC9.DS8,0.0005,0.0060999999999999995,0.026,0.026,0.0255,0.0199
4,0.0029127923343626196,PC9.DS8,0.0005,0.0063,0.026,0.026,0.0255,0.0197
5,0.00014380104163553634,PC9.DS8,0.0005,0.0065,0.026,0.026,0.0255,0.0195
6,0.0015174470916821997,PC9.DS8,0.0005,0.006699999999999999,0.026,0.026,0.0255,0.019299999999999998
7,0.00015295566998939104,PC9.DS8,0.0005,0.0069,0.026,0.026,0.0255,0.0191
8,0.0026784747589697682,PC9.DS8,0.0005,0.0070999999999999995,0.026,0.026,0.0255,0.0189
9,5.877075427405594e-05,PC9.DS8,0.0005,0.0073,0.026,0.026,0.0255,0.018699999999999998
10,0.0004924308288898179,PC9.DS8,0.0005,0.0075,0.026,0.026,0.0255,0.0185
11,0.0020533159237134473,PC9.DS8,0.0007,0.0055,0.026,0.026,0.0253,0.020499999999999997
12,0.0006313514066900522,PC9.DS8,0.0007,0.005699999999999999,0.026,0.026,0.0253,0.0203
13,0.000539524492074879,PC9.DS8,0.0007,0.0059,0.026,0.026,0.0253,0.0201
14,0.050975793408218055,PC9.DS8,0.0007,0.0060999999999999995,0.026,0.026,0.0253,0.0199
15,0.05542409819575155,PC9.DS8,0.0007,0.0063,0.026,0.026,0.0253,0.0197
16,0.0006238236842212052,PC9.DS8,0.0007,0.0065,0.026,0.026,0.0253,0.0195
17,0.0028342544738180725,PC9.DS8,0.0007,0.006699999999999999,0.026,0.026,0.0253,0.019299999999999998
18,0.0006910406228029922,PC9.DS8,0.0007,0.0069,0.026,0.026,0.0253,0.0191
