,p-value,cell.line,DIP1,DIP2,div1,div2,dth1,dth2
0,0.00022769337730965,PC9.DS8,0.0005,0.0055,0.031,0.031,0.0305,0.025500000000000002
1,3.463091729834534e-05,PC9.DS8,0.0005,0.005699999999999999,0.031,0.031,0.0305,0.0253
2,1.5277751298989418e-06,PC9.DS8,0.0005,0.0059,0.031,0.031,0.0305,0.0251
3,0.0021486880765158164,PC9.DS8,0.0005,0.0060999999999999995,0.031,0.031,0.0305,0.0249
4,0.006542965564046535,PC9.DS8,0.0005,0.0063,0.031,0.031,0.0305,0.0247
5,0.020344360880804796,PC9.DS8,0.0005,0.0065,0.031,0.031,0.0305,0.0245
6,0.002349059074328258,PC9.DS8,0.0005,0.006699999999999999,0.031,0.031,0.0305,0.024300000000000002
7,3.4868742458290992e-06,PC9.DS8,0.0005,0.0069,0.031,0.031,0.0305,0.0241
8,8.696750364450637e-05,PC9.DS8,0.0005,0.0070999999999999995,0.031,0.031,0.0305,0.0239
9,0.0013590436559589966,PC9.DS8,0.0005,0.0073,0.031,0.031,0.0305,0.0237
10,0.024481000412981853,PC9.DS8,0.0005,0.0075,0.031,0.031,0.0305,0.0235
11,0.01683407327834288,PC9.DS8,0.0007,0.0055,0.031,0.031,0.0303,0.025500000000000002
12,7.259807312144687e-05,PC9.DS8,0.0007,0.005699999999999999,0.031,0.031,0.0303,0.0253
13,0.00016187651685236904,PC9.DS8,0.0007,0.0059,0.031,0.031,0.0303,0.0251
14,0.004075885538340963,PC9.DS8,0.0007,0.0060999999999999995,0.031,0.031,0.0303,0.0249
15,9.60977755195132e-06,PC9.DS8,0.0007,0.0063,0.031,0.031,0.0303,0.0247
16,3.704880179017991e-06,PC9.DS8,0.0007,0.0065,0.031,0.031,0.0303,0.0245
17,4.298227712525525e-05,PC9.DS8,0.0007,0.006699999999999999,0.031,0.031,0.0303,0.024300000000000002
18,0.04536064311701706,PC9.DS8,0.0007,0.0069,0.031,0.031,0.0303,0.0241
19,0.0003675476924682126,PC9.DS8,0.0007,0.0070999999999999995,0.031,0.031,0.0303,0.0239
20,0.07596486871285224,PC9.DS8,0.0007,0.0073,0.031,0.031,0.0303,0.0237
21,0.0005577105189976468,PC9.DS8,0.0007,0.0075,0.031,0.031,0.0303,0.0235
22,0.009005698447210898,PC9.DS8,0.0009,0.0055,0.031,0.031,0.0301,0.025500000000000002
23,0.020131478829502093,PC9.DS8,0.0009,0.005699999999999999,0.031,0.031,0.0301,0.0253
24,0.04673223571588252,PC9.DS8,0.0009,0.0059,0.031,0.031,0.0301,0.0251
25,0.010754079919566287,PC9.DS8,0.0009,0.0060999999999999995,0.031,0.031,0.0301,0.0249
26,0.039729364127109444,PC9.DS8,0.0009,0.0063,0.031,0.031,0.0301,0.0247
27,0.05767834547299733,PC9.DS8,0.0009,0.0065,0.031,0.031,0.0301,0.0245
28,0.0029313657798418808,PC9.DS8,0.0009,0.006699999999999999,0.031,0.031,0.0301,0.024300000000000002
29,0.003219563923456761,PC9.DS8,0.0009,0.0069,0.031,0.031,0.0301,0.0241
30,0.04169157747486791,PC9.DS8,0.0009,0.0070999999999999995,0.031,0.031,0.0301,0.0239
31,0.00042068773360855703,PC9.DS8,0.0009,0.0073,0.031,0.031,0.0301,0.0237
32,0.01792794456889496,PC9.DS8,0.0009,0.0075,0.031,0.031,0.0301,0.0235
33,0.002725116630452378,PC9.DS8,0.0011,0.0055,0.031,0.031,0.0299,0.025500000000000002
34,0.014339246840291687,PC9.DS8,0.0011,0.005699999999999999,0.031,0.031,0.0299,0.0253
35,0.036554587702681156,PC9.DS8,0.0011,0.0059,0.031,0.031,0.0299,0.0251
36,0.036041409115404356,PC9.DS8,0.0011,0.0060999999999999995,0.031,0.031,0.0299,0.0249
37,0.00868746972718711,PC9.DS8,0.0011,0.0063,0.031,0.031,0.0299,0.0247
38,0.09755291655212274,PC9.DS8,0.0011,0.0065,0.031,0.031,0.0299,0.0245
39,0.0007733827901927751,PC9.DS8,0.0011,0.006699999999999999,0.031,0.031,0.0299,0.024300000000000002
40,0.006599230512792675,PC9.DS8,0.0011,0.0069,0.031,0.031,0.0299,0.0241
41,0.010754079919566287,PC9.DS8,0.0011,0.0070999999999999995,0.031,0.031,0.0299,0.0239
42,0.00323154890806355,PC9.DS8,0.0011,0.0073,0.031,0.031,0.0299,0.0237
43,0.0035752473053393113,PC9.DS8,0.0011,0.0075,0.031,0.031,0.0299,0.0235
44,0.0028182340559650717,PC9.DS8,0.0013,0.0055,0.031,0.031,0.0297,0.025500000000000002
45,0.0006673683930209808,PC9.DS8,0.0013,0.005699999999999999,0.031,0.031,0.0297,0.0253
46,0.015831626354361455,PC9.DS8,0.0013,0.0059,0.031,0.031,0.0297,0.0251
47,0.033095877102643396,PC9.DS8,0.0013,0.0060999999999999995,0.031,0.031,0.0297,0.0249
48,0.01155492979567261,PC9.DS8,0.0013,0.0063,0.031,0.031,0.0297,0.0247
49,0.006379997899993423,PC9.DS8,0.0013,0.0065,0.031,0.031,0.0297,0.0245
50,0.02655937400364515,PC9.DS8,0.0013,0.006699999999999999,0.031,0.031,0.0297,0.024300000000000002
51,0.006825316746885032,PC9.DS8,0.0013,0.0069,0.031,0.031,0.0297,0.0241
52,0.001942180123781609,PC9.DS8,0.0013,0.0070999999999999995,0.031,0.031,0.0297,0.0239
53,0.0003297911562159804,PC9.DS8,0.0013,0.0073,0.031,0.031,0.0297,0.0237
54,0.029905644107963147,PC9.DS8,0.0013,0.0075,0.031,0.031,0.0297,0.0235
55,0.004799361964931865,PC9.DS8,0.0015,0.0055,0.031,0.031,0.0295,0.025500000000000002
56,0.003035465587256237,PC9.DS8,0.0015,0.005699999999999999,0.031,0.031,0.0295,0.0253
57,0.00315569225799321,PC9.DS8,0.0015,0.0059,0.031,0.031,0.0295,0.0251
58,5.724699913325105e-05,PC9.DS8,0.0015,0.0060999999999999995,0.031,0.031,0.0295,0.0249
59,0.0014684411191718198,PC9.DS8,0.0015,0.0063,0.031,0.031,0.0295,0.0247
60,0.0005535714528702524,PC9.DS8,0.0015,0.0065,0.031,0.031,0.0295,0.0245
61,3.962555091825978e-07,PC9.DS8,0.0015,0.006699999999999999,0.031,0.031,0.0295,0.024300000000000002
62,0.0009160142544687019,PC9.DS8,0.0015,0.0069,0.031,0.031,0.0295,0.0241
63,0.0004744112760082686,PC9.DS8,0.0015,0.0070999999999999995,0.031,0.031,0.0295,0.0239
64,0.00231855651869713,PC9.DS8,0.0015,0.0073,0.031,0.031,0.0295,0.0237
65,0.00011531229930344227,PC9.DS8,0.0015,0.0075,0.031,0.031,0.0295,0.0235
66,0.016304266397951735,PC9.DS8,0.0005,0.0055,0.031,0.032,0.0305,0.026500000000000003
67,0.003166496098136304,PC9.DS8,0.0005,0.005699999999999999,0.031,0.032,0.0305,0.0263
68,0.008761906391950467,PC9.DS8,0.0005,0.0059,0.031,0.032,0.0305,0.0261
69,2.3667000889525655e-05,PC9.DS8,0.0005,0.0060999999999999995,0.031,0.032,0.0305,0.0259
70,0.0009746540540802079,PC9.DS8,0.0005,0.0063,0.031,0.032,0.0305,0.0257
71,0.013905434708247165,PC9.DS8,0.0005,0.0065,0.031,0.032,0.0305,0.025500000000000002
72,0.001490978528243127,PC9.DS8,0.0005,0.006699999999999999,0.031,0.032,0.0305,0.025300000000000003
73,0.0010952715531716375,PC9.DS8,0.0005,0.0069,0.031,0.032,0.0305,0.0251
74,0.004919024320872716,PC9.DS8,0.0005,0.0070999999999999995,0.031,0.032,0.0305,0.024900000000000002
75,0.0006278499096442446,PC9.DS8,0.0005,0.0073,0.031,0.032,0.0305,0.0247
76,0.08804451306582532,PC9.DS8,0.0005,0.0075,0.031,0.032,0.0305,0.0245
77,0.004604581199155301,PC9.DS8,0.0007,0.0055,0.031,0.032,0.0303,0.026500000000000003
78,0.0002973073250552098,PC9.DS8,0.0007,0.005699999999999999,0.031,0.032,0.0303,0.0263
79,0.0005857960911969623,PC9.DS8,0.0007,0.0059,0.031,0.032,0.0303,0.0261
80,0.19223328880631796,PC9.DS8,0.0007,0.0060999999999999995,0.031,0.032,0.0303,0.0259
81,0.023550747345076225,PC9.DS8,0.0007,0.0063,0.031,0.032,0.0303,0.0257
82,0.0005617720055954269,PC9.DS8,0.0007,0.0065,0.031,0.032,0.0303,0.025500000000000002
83,0.003208730977735859,PC9.DS8,0.0007,0.006699999999999999,0.031,0.032,0.0303,0.025300000000000003
84,0.0021636998414872226,PC9.DS8,0.0007,0.0069,0.031,0.032,0.0303,0.0251
85,0.007922371555696178,PC9.DS8,0.0007,0.0070999999999999995,0.031,0.032,0.0303,0.024900000000000002
86,0.024622933148029134,PC9.DS8,0.0007,0.0073,0.031,0.032,0.0303,0.0247
87,0.020690493504266588,PC9.DS8,0.0007,0.0075,0.031,0.032,0.0303,0.0245
88,0.0028082316984759386,PC9.DS8,0.0009,0.0055,0.031,0.032,0.0301,0.026500000000000003
89,9.787368873327226e-06,PC9.DS8,0.0009,0.005699999999999999,0.031,0.032,0.0301,0.0263
90,0.00394935381646866,PC9.DS8,0.0009,0.0059,0.031,0.032,0.0301,0.0261
91,0.1300960302683522,PC9.DS8,0.0009,0.0060999999999999995,0.031,0.032,0.0301,0.0259
92,0.01445083372980883,PC9.DS8,0.0009,0.0063,0.031,0.032,0.0301,0.0257
93,0.007728428313760344,PC9.DS8,0.0009,0.0065,0.031,0.032,0.0301,0.025500000000000002
94,0.020512322460614657,PC9.DS8,0.0009,0.006699999999999999,0.031,0.032,0.0301,0.025300000000000003
95,0.00042068773360855703,PC9.DS8,0.0009,0.0069,0.031,0.032,0.0301,0.0251
96,0.00033409093275045266,PC9.DS8,0.0009,0.0070999999999999995,0.031,0.032,0.0301,0.024900000000000002
97,0.02122975427566897,PC9.DS8,0.0009,0.0073,0.031,0.032,0.0301,0.0247
98,0.00012686532311026764,PC9.DS8,0.0009,0.0075,0.031,0.032,0.0301,0.0245
99,0.014619677421098251,PC9.DS8,0.0011,0.0055,0.031,0.032,0.0299,0.026500000000000003
100,0.0032651429701667217,PC9.DS8,0.0011,0.005699999999999999,0.031,0.032,0.0299,0.0263
101,0.019909715939165167,PC9.DS8,0.0011,0.0059,0.031,0.032,0.0299,0.0261
102,0.007193271914388622,PC9.DS8,0.0011,0.0060999999999999995,0.031,0.032,0.0299,0.0259
103,9.451404979133846e-06,PC9.DS8,0.0011,0.0063,0.031,0.032,0.0299,0.0257
104,0.022712011812024705,PC9.DS8,0.0011,0.0065,0.031,0.032,0.0299,0.025500000000000002
105,0.10610065277515596,PC9.DS8,0.0011,0.006699999999999999,0.031,0.032,0.0299,0.025300000000000003
106,0.14253397290005426,PC9.DS8,0.0011,0.0069,0.031,0.032,0.0299,0.0251
107,0.01154284553719476,PC9.DS8,0.0011,0.0070999999999999995,0.031,0.032,0.0299,0.024900000000000002
108,0.04697669790988393,PC9.DS8,0.0011,0.0073,0.031,0.032,0.0299,0.0247
109,0.034101257970548575,PC9.DS8,0.0011,0.0075,0.031,0.032,0.0299,0.0245
110,0.0207341556554137,PC9.DS8,0.0013,0.0055,0.031,0.032,0.0297,0.026500000000000003
111,0.0023066570341554508,PC9.DS8,0.0013,0.005699999999999999,0.031,0.032,0.0297,0.0263
112,6.851127005268508e-05,PC9.DS8,0.0013,0.0059,0.031,0.032,0.0297,0.0261
113,0.006213474520184778,PC9.DS8,0.0013,0.0060999999999999995,0.031,0.032,0.0297,0.0259
114,0.0013073769629922175,PC9.DS8,0.0013,0.0063,0.031,0.032,0.0297,0.0257
115,0.02147731021212285,PC9.DS8,0.0013,0.0065,0.031,0.032,0.0297,0.025500000000000002
116,0.00012404999120296873,PC9.DS8,0.0013,0.006699999999999999,0.031,0.032,0.0297,0.025300000000000003
117,0.022526124690628764,PC9.DS8,0.0013,0.0069,0.031,0.032,0.0297,0.0251
118,0.002333406205748653,PC9.DS8,0.0013,0.0070999999999999995,0.031,0.032,0.0297,0.024900000000000002
119,0.007172238696025156,PC9.DS8,0.0013,0.0073,0.031,0.032,0.0297,0.0247
120,0.14479721201385443,PC9.DS8,0.0013,0.0075,0.031,0.032,0.0297,0.0245
121,5.5644713573490945e-06,PC9.DS8,0.0015,0.0055,0.031,0.032,0.0295,0.026500000000000003
122,0.0018709784902036536,PC9.DS8,0.0015,0.005699999999999999,0.031,0.032,0.0295,0.0263
123,0.0022353880366722226,PC9.DS8,0.0015,0.0059,0.031,0.032,0.0295,0.0261
124,0.0003503516905592014,PC9.DS8,0.0015,0.0060999999999999995,0.031,0.032,0.0295,0.0259
125,0.006864888098096286,PC9.DS8,0.0015,0.0063,0.031,0.032,0.0295,0.0257
126,0.001075742323649898,PC9.DS8,0.0015,0.0065,0.031,0.032,0.0295,0.025500000000000002
127,3.9471090528039745e-05,PC9.DS8,0.0015,0.006699999999999999,0.031,0.032,0.0295,0.025300000000000003
128,0.006032069245438607,PC9.DS8,0.0015,0.0069,0.031,0.032,0.0295,0.0251
129,0.0013480377716054833,PC9.DS8,0.0015,0.0070999999999999995,0.031,0.032,0.0295,0.024900000000000002
130,0.026199291501877862,PC9.DS8,0.0015,0.0073,0.031,0.032,0.0295,0.0247
131,0.00016121712123263245,PC9.DS8,0.0015,0.0075,0.031,0.032,0.0295,0.0245
132,1.1693198862002963e-05,PC9.DS8,0.0005,0.0055,0.031,0.033,0.0305,0.027500000000000004
133,0.0028984177973809633,PC9.DS8,0.0005,0.005699999999999999,0.031,0.033,0.0305,0.0273
134,0.026441227744900236,PC9.DS8,0.0005,0.0059,0.031,0.033,0.0305,0.027100000000000003
135,0.000537762110810175,PC9.DS8,0.0005,0.0060999999999999995,0.031,0.033,0.0305,0.0269
136,0.001007819990498239,PC9.DS8,0.0005,0.0063,0.031,0.033,0.0305,0.0267
137,0.0003868713908310478,PC9.DS8,0.0005,0.0065,0.031,0.033,0.0305,0.026500000000000003
138,0.004854974656446851,PC9.DS8,0.0005,0.006699999999999999,0.031,0.033,0.0305,0.026300000000000004
139,0.0029474177303103247,PC9.DS8,0.0005,0.0069,0.031,0.033,0.0305,0.0261
140,2.6242051373968627e-05,PC9.DS8,0.0005,0.0070999999999999995,0.031,0.033,0.0305,0.025900000000000003
141,0.025794439614237996,PC9.DS8,0.0005,0.0073,0.031,0.033,0.0305,0.0257
142,1.1459266706638173e-06,PC9.DS8,0.0005,0.0075,0.031,0.033,0.0305,0.025500000000000002
143,0.012028567036728045,PC9.DS8,0.0007,0.0055,0.031,0.033,0.0303,0.027500000000000004
144,8.696750364450637e-05,PC9.DS8,0.0007,0.005699999999999999,0.031,0.033,0.0303,0.0273
145,0.0011879925463500899,PC9.DS8,0.0007,0.0059,0.031,0.033,0.0303,0.027100000000000003
146,0.0507984247087909,PC9.DS8,0.0007,0.0060999999999999995,0.031,0.033,0.0303,0.0269
147,0.06771688819520863,PC9.DS8,0.0007,0.0063,0.031,0.033,0.0303,0.0267
148,0.009663210030581064,PC9.DS8,0.0007,0.0065,0.031,0.033,0.0303,0.026500000000000003
149,0.0018538586172332718,PC9.DS8,0.0007,0.006699999999999999,0.031,0.033,0.0303,0.026300000000000004
150,0.0012225373244711601,PC9.DS8,0.0007,0.0069,0.031,0.033,0.0303,0.0261
151,0.0012107877723353485,PC9.DS8,0.0007,0.0070999999999999995,0.031,0.033,0.0303,0.025900000000000003
152,0.014309531816213134,PC9.DS8,0.0007,0.0073,0.031,0.033,0.0303,0.0257
153,0.0026758347522020907,PC9.DS8,0.0007,0.0075,0.031,0.033,0.0303,0.025500000000000002
