,p-value,cell.line,DIP Rate,Division Rate,Death Rate,param.pair,Cell Line
0,0.0003395706356293989,not.assigned,0.0005,0.021,0.0205,0,not.assigned
1,0.0012761144508061668,not.assigned,0.0005,0.021,0.0205,1,not.assigned
2,4.6904469726769535e-05,not.assigned,0.0005,0.021,0.0205,2,not.assigned
3,0.0025000264275057043,not.assigned,0.0005,0.021,0.0205,3,not.assigned
4,6.842390955009627e-05,not.assigned,0.0005,0.021,0.0205,4,not.assigned
5,1.0171421403374862e-05,not.assigned,0.0005,0.021,0.0205,5,not.assigned
6,0.0027704450682594036,not.assigned,0.0005,0.021,0.0205,6,not.assigned
7,0.012630275388557207,not.assigned,0.0005,0.021,0.0205,7,not.assigned
8,1.7339239192997512e-05,not.assigned,0.0005,0.021,0.0205,8,not.assigned
9,0.021592941878718075,not.assigned,0.0005,0.021,0.0205,9,not.assigned
10,0.00011707193242678977,not.assigned,0.0005,0.021,0.0205,10,not.assigned
11,0.004891778623576278,not.assigned,0.0007,0.021,0.020300000000000002,11,not.assigned
12,0.0001497547725334433,not.assigned,0.0007,0.021,0.020300000000000002,12,not.assigned
13,0.00043376095177277176,not.assigned,0.0007,0.021,0.020300000000000002,13,not.assigned
14,3.529180214611886e-05,not.assigned,0.0007,0.021,0.020300000000000002,14,not.assigned
15,0.0034930698045955353,not.assigned,0.0007,0.021,0.020300000000000002,15,not.assigned
16,0.0005660759721619417,not.assigned,0.0007,0.021,0.020300000000000002,16,not.assigned
17,0.0018952421422556778,not.assigned,0.0007,0.021,0.020300000000000002,17,not.assigned
18,0.020007501377620644,not.assigned,0.0007,0.021,0.020300000000000002,18,not.assigned
19,0.00027423372811700796,not.assigned,0.0007,0.021,0.020300000000000002,19,not.assigned
20,0.003934237130209005,not.assigned,0.0007,0.021,0.020300000000000002,20,not.assigned
21,5.061207012631863e-07,not.assigned,0.0007,0.021,0.020300000000000002,21,not.assigned
22,5.206786015359322e-05,not.assigned,0.0009,0.021,0.0201,22,not.assigned
23,0.0028984177973809633,not.assigned,0.0009,0.021,0.0201,23,not.assigned
24,1.2042124721284936e-05,not.assigned,0.0009,0.021,0.0201,24,not.assigned
25,0.0013529850434116687,not.assigned,0.0009,0.021,0.0201,25,not.assigned
26,0.00023534425030998868,not.assigned,0.0009,0.021,0.0201,26,not.assigned
27,0.006298608404951747,not.assigned,0.0009,0.021,0.0201,27,not.assigned
28,0.00010174038383390116,not.assigned,0.0009,0.021,0.0201,28,not.assigned
29,0.0017010443237224161,not.assigned,0.0009,0.021,0.0201,29,not.assigned
30,0.04316493227680317,not.assigned,0.0009,0.021,0.0201,30,not.assigned
31,0.005228498022780432,not.assigned,0.0009,0.021,0.0201,31,not.assigned
32,0.02119426527615711,not.assigned,0.0009,0.021,0.0201,32,not.assigned
33,3.358712414771721e-05,not.assigned,0.0011,0.021,0.0199,33,not.assigned
34,0.001364282167379612,not.assigned,0.0011,0.021,0.0199,34,not.assigned
35,0.00938223111050943,not.assigned,0.0011,0.021,0.0199,35,not.assigned
36,0.017803874604800696,not.assigned,0.0011,0.021,0.0199,36,not.assigned
37,0.00010566390340138183,not.assigned,0.0011,0.021,0.0199,37,not.assigned
38,0.08670105430791351,not.assigned,0.0011,0.021,0.0199,38,not.assigned
39,0.004340281329794611,not.assigned,0.0011,0.021,0.0199,39,not.assigned
40,0.009663210030581064,not.assigned,0.0011,0.021,0.0199,40,not.assigned
41,0.00011050219449588895,not.assigned,0.0011,0.021,0.0199,41,not.assigned
42,3.2731765034233536e-05,not.assigned,0.0011,0.021,0.0199,42,not.assigned
43,0.012383802382637532,not.assigned,0.0011,0.021,0.0199,43,not.assigned
44,0.0027618506750932722,not.assigned,0.0013,0.021,0.019700000000000002,44,not.assigned
45,0.0049960197301407265,not.assigned,0.0013,0.021,0.019700000000000002,45,not.assigned
46,0.0026946554776087943,not.assigned,0.0013,0.021,0.019700000000000002,46,not.assigned
47,0.0032823622217043927,not.assigned,0.0013,0.021,0.019700000000000002,47,not.assigned
48,0.0007401394431013115,not.assigned,0.0013,0.021,0.019700000000000002,48,not.assigned
49,0.0018709784902036536,not.assigned,0.0013,0.021,0.019700000000000002,49,not.assigned
50,0.0002735248995279465,not.assigned,0.0013,0.021,0.019700000000000002,50,not.assigned
51,0.0009393622195744518,not.assigned,0.0013,0.021,0.019700000000000002,51,not.assigned
