"expt.id","cell.line","well","colony","uid","paired","time","time.units","drug1","drug1.conc","drug1.units","rate"
"20120323","PC9","H02","C","20120323_PC9_H02_C","No",0,"h","erlotinib",3e-06,"M",0.000335732306585769
"20120323","PC9","G02","B","20120323_PC9_G02_B","No",0,"h","erlotinib",3e-06,"M",-0.0166962199124924
"20120323","PC9","G07","B","20120323_PC9_G07_B","No",0,"h","erlotinib",3e-06,"M",0.00987938453816169
"20120323","PC9","G01","F","20120323_PC9_G01_F","No",0,"h","erlotinib",3e-06,"M",0.00303299332965222
"20120323","PC9","F08","B","20120323_PC9_F08_B","No",0,"h","erlotinib",3e-06,"M",-0.0015325412707631
"20120323","PC9","G08","B","20120323_PC9_G08_B","No",0,"h","erlotinib",3e-06,"M",-0.00890370018826112
"20120323","PC9","F08","C","20120323_PC9_F08_C","No",0,"h","erlotinib",3e-06,"M",-0.00975446542478815
"20120323","PC9","H10","C","20120323_PC9_H10_C","No",0,"h","erlotinib",3e-06,"M",-0.0379172317006504
"20120323","PC9","H09","A","20120323_PC9_H09_A","No",0,"h","erlotinib",3e-06,"M",-0.0089061941352537
"20120323","PC9","G02","D","20120323_PC9_G02_D","No",0,"h","erlotinib",3e-06,"M",-0.00475674707847368
"20120323","PC9","G03","E","20120323_PC9_G03_E","No",0,"h","erlotinib",3e-06,"M",-0.00254365382940963
"20120323","PC9","G03","B","20120323_PC9_G03_B","No",0,"h","erlotinib",3e-06,"M",-0.00245321325121576
"20120323","PC9","H03","A","20120323_PC9_H03_A","No",0,"h","erlotinib",3e-06,"M",-0.0105520244035108
"20120323","PC9","G10","D","20120323_PC9_G10_D","No",0,"h","erlotinib",3e-06,"M",0.00426476175530819
"20120323","PC9","H03","B","20120323_PC9_H03_B","No",0,"h","erlotinib",3e-06,"M",-0.00593126789367093
"20120323","PC9","G02","A","20120323_PC9_G02_A","No",0,"h","erlotinib",3e-06,"M",0.00448424322997769
"20120323","PC9","G01","B","20120323_PC9_G01_B","No",0,"h","erlotinib",3e-06,"M",-0.00483589264953055
"20120323","PC9","G10","E","20120323_PC9_G10_E","No",0,"h","erlotinib",3e-06,"M",-0.0349827717370343
"20120323","PC9","G03","C","20120323_PC9_G03_C","No",0,"h","erlotinib",3e-06,"M",-0.0191868060296785
